hour,binned_lat_lon,alert_count
17:00,"(41.94, -87.72)",599
17:00,"(41.9, -87.67)",593
17:00,"(41.97, -87.77)",582
17:00,"(41.97, -87.78)",552
18:00,"(41.96, -87.75)",1295
18:00,"(41.88, -87.65)",1192
18:00,"(41.89, -87.66)",1039
18:00,"(41.87, -87.65)",936
18:00,"(41.96, -87.76)",728
18:00,"(41.83, -87.64)",719
18:00,"(41.9, -87.67)",608
18:00,"(41.94, -87.72)",598
18:00,"(41.97, -87.77)",556
18:00,"(41.97, -87.78)",529
19:00,"(41.88, -87.65)",1511
19:00,"(41.96, -87.75)",1377
19:00,"(41.89, -87.66)",1261
19:00,"(41.87, -87.65)",1192
19:00,"(41.9, -87.67)",902
19:00,"(41.83, -87.64)",832
19:00,"(41.96, -87.76)",753
19:00,"(41.86, -87.65)",702
19:00,"(41.85, -87.65)",672
19:00,"(41.84, -87.64)",668
20:00,"(41.88, -87.65)",1697
20:00,"(41.96, -87.75)",1625
20:00,"(41.89, -87.66)",1593
20:00,"(41.87, -87.65)",1530
20:00,"(41.9, -87.67)",1039
20:00,"(41.83, -87.64)",845
20:00,"(41.84, -87.64)",802
20:00,"(41.86, -87.65)",751
20:00,"(41.96, -87.76)",749
20:00,"(41.91, -87.67)",742
21:00,"(41.88, -87.65)",1951
21:00,"(41.96, -87.75)",1694
21:00,"(41.87, -87.65)",1670
21:00,"(41.89, -87.66)",1665
21:00,"(41.9, -87.67)",1359
21:00,"(41.91, -87.67)",887
21:00,"(41.96, -87.76)",863
21:00,"(41.83, -87.64)",826
21:00,"(41.93, -87.71)",816
21:00,"(41.84, -87.64)",793
22:00,"(41.88, -87.65)",1947
22:00,"(41.87, -87.65)",1729
22:00,"(41.89, -87.66)",1645
22:00,"(41.96, -87.75)",1483
22:00,"(41.9, -87.67)",948
22:00,"(41.91, -87.67)",866
22:00,"(41.89, -87.65)",815
22:00,"(41.96, -87.76)",778
22:00,"(41.86, -87.65)",761
22:00,"(41.97, -87.78)",714
23:00,"(41.88, -87.65)",1427
23:00,"(41.96, -87.75)",1283
23:00,"(41.89, -87.66)",1176
23:00,"(41.87, -87.65)",1144
23:00,"(41.9, -87.67)",799
23:00,"(41.96, -87.76)",683
23:00,"(41.97, -87.77)",625
23:00,"(41.91, -87.67)",622
23:00,"(41.86, -87.65)",607
23:00,"(41.98, -87.79)",587
